CÓDIGO,DIRECCION,Codigo Postal
28079004,Plaza de España,28008
28079008,Entre C/ Alcalá y C/ O’ Donell,28009
28079016,C/ Arturo Soria  esq. C/  Vizconde de los Asilos,28043
28079018,Calle Farolillo - C/Ervigio,28047
28079024,Casa de Campo  (Terminal del Teleférico),28011
28079035,Plaza del Carmen esq. Tres Cruces.,28013
28079036,Avd. Moratalaz  esq. Camino de los Vinateros,28030
28079038,Avd. Pablo Iglesias esq. C/ Marqués de Lema,28039
28079039,Avd. Betanzos esq. C/  Monforte de Lemos,28034
28079054,Avda La Gavia / Avda. Las Suertes,28051
28079056,Pza. Elíptica - Avda. Oporto,28025
28079058,Avda. La Guardia,28044
28079059,Parque Juan Carlos I (frente oficinas mantenimiento),28042
28079102,"C/ Fuente Carantona, 8",28025
28079103,"C/ Arroyo Bueno, 53",28026
28079104,Embajadores,28012
28079106,Autovía M-30 Km. 21.700,28026
28079107,"Ctra. de Canillas, 2",28043
28079108,C.D.M. Peñagrande,28035
28079109,"Plaza de Chamberí, 4",28010
28079110,"C/ Mayor, 72",28013
28079111,"C/ Principe de Vergara, 142",28002
28079112,"Avda. Albufera, 42",28018
28079113,"Avda. Albufera, 42",28018
28079114,"Paseo de la Chopera, 10",28045
28079115,"Paseo de la Chopera, 10",28045
