ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,MODELO,tipo_juego,ACCESIBLE
9536972,Varios Juegos en CDE,125,MOSCARDO,12.0,USERA,OPERATIVO,440127.235,4471484.87,ETRS89,40.39181226,-3.70546297,,,,28026.0,C/TORERO,11084099.0,2024-01-31 00:00:00,D127106,AE21,,deportivas,
9536966,Varios Juegos en CDE,125,MOSCARDO,12.0,USERA,OPERATIVO,440120.72,4471484.01,ETRS89,40.39180405,-3.70553965,,,,28026.0,C/TORERO,11084099.0,31/01/2024,D127102,AE21,,deportivas,
9536965,Varios Juegos en CDE,125,MOSCARDO,12.0,úsérá,OPERATIVO,440122.796,4471479.925,ETRS89,40.3917674,-3.70551481,,,,28026.0,C/TORERO,11084099.0,2024/01/31,D127101,AE21,,deportivas,
9535131,Barras paralelas en CDE,116,búénávístá,11.0,CARABANCHEL,OPERATIVO,436239.954,4468572.408,ETRS89,40.36528705,-3.75097065,,,,28054.0,C/BLANCA CV C/DINERO,31069202.0,09-15-2023,D117105,AE21,,deportivas,
9535128,Multiejercicio en CDE,116,BÚENAVÍSTÁ,11.0,CARABANCHEL,OPERATIVO,436234.994,4468565.132,ETRS89,40.36522112,-3.75102834,,,,28054.0,C/BLANCA CV C/DINERO,31069202.0,fecha_incorrecta,D117102,AE21,,deportivas,
9535127,Banco de abdominales en CDE,116,BUENAVISTA,11.0,CÁRABÁNCHÉL,OPERATIVO,436241.807,4468566.587,ETRS89,40.36523475,-3.75094824,,,,28054.0,C/BLANCA CV C/DINERO,31069202.0,09-15-2023,D117101,AE21,,deportivas,
9494201,Varios Juegos en CDE,65,VALDEACEDERAS,6.0,tetuan,OPERATIVO,439936.89,4479630.206,ETRS89,40.46517536,-3.70847517,,,,28039.0,PASEO DE LA DIRECCIÓN 215,31028286.0,fecha_incorrecta,D065803,AE21,,deportivas,
9493030,Banco de abdominales en CDE,54,HISPANOAMERICA,5.0,CHÁMARTIN,OPERATIVO,442788.959,4478566.027,ETRS89,40.45579005,-3.6747399,,,,28016.0,PUERTO RICO 27,11025193.0,fecha_incorrecta,D050712,AE21,,deportivas,
9493021,Varios Juegos en CDE,54,híspánóámérícá,5.0,CHAMÁRTÍN,OPERATIVO,442778.376,4478564.042,ETRS89,40.45577144,-3.67486453,,,,28016.0,PUERTO RICO 27,11025193.0,2024-03-07 00:00:00,D050706,AE21,,deportivas,
9492867,Varios Juegos en CDE,86,VALVERDE,8.0,fúencarral - él pardo,OPERATIVO,441924.663,4481670.475,ETRS89,40.48369629,-3.68521681,,,,28034.0,PARQUE DE BEGOÑA,11047058.0,04/04/2024,D085508,AE21,,deportivas,
