ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,tipo
17818,Área Infantil,141,PaVONES,14.0,mOrátáLAZ,OPERATIVO,445901.808,4471912.643,ETRS89,40.39606097,-3.63746344,CALLE,ARROYO FONTARRON,367,28030.0,"ARROYO FONTARRÓN, 000367",11101203.0,01/01/03,14004,AE21,23,infantil
17820,Área Infantil,145,FOnTaRroN,14.0,MOrAtALáz,OPERATIVO,445482.416,4472267.358,ETRS89,40.39922912,-3.64243541,CALLE,ENCOMIENDA DE PALACIOS,190,28030.0,"ENCOMIENDA DE PALACIOS, 000190",31006781.0,fecha_incorrecta,14006,AE21,20,infantil
17823,Área Infantil,145,FONTArRóN,14.0,MORaTAlaZ,OPERATIVO,445003.898,4472514.406,ETRS89,40.40142321,-3.64809527,CALLE,CORREGIDOR JUAN FRANCISCO DE LUJAN,48,28030.0,"CORREGIDOR JUAN FRANCISCO DE LUJÁN, 000048",11102221.0,01/01/2006,14009,AE21,16,infantil
17825,Área Infantil,145,fonTARron,14.0,MoRATalAZ,OPERATIVO,444868.375,4472671.323,ETRS89,40.40282785,-3.64970581,CALLE,CORREGIDOR JUAN FRANCISCO DE LUJAN,10,28030.0,"CORREGIDOR JUAN FRANCISCO DE LUJÁN, 000010",11102233.0,fecha_incorrecta,14010,AE21,20,infantil
17827,Área Infantil,145,fonTArrON,14.0,mOrATalAZ,OPERATIVO,444498.39,4472971.797,ETRS89,40.40551011,-3.65409188,,MORATALAZ,58,28030.0,"AVDA MORATALAZ, 000058",20152927.0,01/01/2004,14012,AE21,23,infantil
17829,Área Infantil,145,fONtarrOn,14.0,moRatALAz,OPERATIVO,443799.49,4473224.8,ETRS89,40.40774242,-3.66235031,CALLE,RAMON ARECES,1,28030.0,"RAMÓN ARECES, 000001",20107356.0,01-01-2003,14014,AE21,7,infantil
17831,Área Infantil,144,media leGUA,14.0,MORatAlAZ,OPERATIVO,443905.833,4473469.414,ETRS89,40.40995321,-3.66111865,CALLE,LITUANIA,3,28030.0,"LITUANIA, 000003",20107368.0,01/01/2003,14016,AE21,16,infantil
17833,Área Infantil,144,MediA lEgUA,14.0,mOrATalaZ,OPERATIVO,444338.957,4473226.097,ETRS89,40.40779035,-3.65599294,CALLE,ENTRE ARROYOS,32,28030.0,"ENTRE ARROYOS, 000032",11101851.0,01-01-2005,14018,AE21,18,infantil
17837,Área Infantil,143,marROquIna,14.0,morAtaLaZ,OPERATIVO,444710.687,4473396.324,ETRS89,40.40934863,-3.65162698,CALLE,CAMINO DE LOS VINATEROS,84,28030.0,"CAMINO DE LOS VINATEROS, 000084",11101620.0,01-01-1996,14021,AE21,8,infantil
17839,Área Infantil,144,meDIA legUA,14.0,morAtalaz,OPERATIVO,444349.4,4473763.0,ETRS89,40.41262778,-3.65591683,AVENIDA,DOCTOR GARCIA TAPIA,30,28030.0,"AVDA DOCTOR GARCÍA TAPIA, 000030",20182062.0,01/01/07,14023,AE21,12,infantil
17172,Área Infantil,97,ARAvaca,9.0,mONCLoa - ARAVaCa,OPERATIVO,433851.87,4478566.02,ETRS89,40.45512672,-3.78013417,CALLE,LA PINILLA,79,28023.0,"CALLE PINILLA 79 , ASCENDIENTE 1: 097 · ARAVA",20127193.0,02/02/06,9025,AE21,10,infantil
17174,Área Infantil,97,ARaVACa,9.0,MonCloA - arAVaCa,OPERATIVO,433592.504,4478792.041,ETRS89,40.45714209,-3.78321644,CALLE,BAJA DE LA IGLESIA,30,28023.0,"CALLE BERENISA 38 , ASCENDIENTE 1: 097 · ARAV",11056899.0,2006/03/02,9027,AE21,12,infantil
17176,Área Infantil,97,arAVAca,9.0,mONcloA - aRAVACA,OPERATIVO,434101.58,4478146.71,ETRS89,40.4513693,-3.77714589,CALLE,ROSA LUXEMBURGO,56,28023.0,"CALLE ROSA DE LUXEMBURGO , ASCENDIENTE 1: 097",31005309.0,03-02-2005,9029,AE21,7,infantil
17178,Área Infantil,97,AravacA,9.0,monclOA - AraVacA,OPERATIVO,433694.169,4478132.959,ETRS89,40.45121303,-3.78194867,CALLE,ROSAS DE ARAVACA,2,28023.0,"CALLE HUMERA , ASCENDIENTE 1: 097 · ARAVACA ,",20095788.0,07/12/2005,9031,AE21,33,infantil
17180,Área Infantil,97,AraVACA,9.0,mONcLOA - áRAvACá,OPERATIVO,433182.29,4477957.85,ETRS89,40.44959462,-3.78796632,CALLE,PAVO REAL,6,28023.0,"CALLE CORONA AUSTRAL 14 , ASCENDIENTE 1: 097",31025133.0,09-13-2004,9033,AE21,16,infantil
17186,Área Infantil,91,CASa de caMpO,9.0,moNcLOa - arAvAcA,OPERATIVO,437887.61,4475683.51,ETRS89,40.4294714,-3.73225966,CALLE,ANICETO MARINAS,100,28008.0,"CALLE ANICETO MARINAS 100 , ASCENDIENTE 1: 09",11052014.0,22/06/09,9045,AE21,10,infantil
17191,Área Infantil,91,CaSa dE CaMPo,9.0,MoNClOA - ARAvAcA,OPERATIVO,438536.82,4474991.26,ETRS89,40.42328355,-3.72453961,CALLE,ANICETO MARINAS,50,28008.0,"CALLE ANICETO MARINAS FRENTE AL Nº 50, ASCENDIENTE 1: 091 ·",11051480.0,fecha_incorrecta,9051,AE21,10,infantil
